"service_id","date","exception_type"
8,20210919,1
8,20210926,1
9,20210918,1
9,20210925,1
9,20210919,1
9,20210926,1
10,20210917,1
10,20210924,1
10,20210918,1
10,20210925,1
11,20210920,1
11,20210927,1
11,20210921,1
11,20210928,1
11,20210922,1
11,20210929,1
11,20210916,1
11,20210923,1
11,20210930,1
11,20210917,1
11,20210924,1
11,20210918,1
11,20210925,1
11,20210919,1
11,20210926,1
12,20210919,2
12,20210926,2
13,20210918,2
13,20210925,2
13,20210919,2
13,20210926,2
14,20210917,2
14,20210924,2
14,20210918,2
14,20210925,2
15,20210920,2
15,20210927,2
15,20210921,2
15,20210928,2
15,20210922,2
15,20210929,2
15,20210916,2
15,20210923,2
15,20210930,2
15,20210917,2
15,20210924,2
15,20210918,2
15,20210925,2
15,20210919,2
15,20210926,2
16,20210920,1
16,20210927,1
16,20210921,1
16,20210928,1
16,20210922,1
16,20210929,1
16,20210916,1
16,20210923,1
16,20210930,1
16,20210917,1
16,20210924,1
17,20210918,1
17,20210925,1
18,20210920,2
18,20210927,2
18,20210921,2
18,20210928,2
18,20210922,2
18,20210929,2
18,20210916,2
18,20210923,2
18,20210930,2
18,20210917,2
18,20210924,2
19,20210918,2
19,20210925,2
20,20211011,2
20,20211018,2
20,20211012,2
20,20211019,2
20,20211013,2
20,20211020,2
20,20211014,2
20,20211021,2
20,20211015,2
20,20211022,2
21,20210920,2
21,20210927,2
21,20211011,2
21,20211018,2
21,20210921,2
21,20210928,2
21,20211012,2
21,20211019,2
21,20210922,2
21,20210929,2
21,20211013,2
21,20211020,2
21,20210916,2
21,20210923,2
21,20210930,2
21,20211014,2
21,20211021,2
21,20210917,2
21,20210924,2
21,20211015,2
21,20211022,2
23,20211011,1
23,20211018,1
23,20211012,1
23,20211019,1
23,20211013,1
23,20211020,1
23,20211014,1
23,20211021,1
23,20211015,1
23,20211022,1
26,20210918,2
26,20210925,2
27,20210920,2
27,20210927,2
27,20211004,2
27,20210921,2
27,20210928,2
27,20211005,2
27,20210922,2
27,20210929,2
27,20211006,2
27,20210916,2
27,20210923,2
27,20210930,2
27,20211007,2
27,20210917,2
27,20210924,2
27,20211001,2
27,20211008,2
28,20210919,2
28,20210926,2
28,20211003,2
28,20211010,2
29,20210916,1
30,20210920,1
30,20210927,1
30,20211004,1
30,20210921,1
30,20210928,1
30,20211005,1
30,20210922,1
30,20210929,1
30,20211006,1
30,20210923,1
30,20210930,1
30,20211007,1
30,20210917,1
30,20210924,1
30,20211001,1
30,20211008,1
31,20210919,1
31,20210926,1
31,20211003,1
31,20211010,1
32,20211016,1
32,20211023,1
33,20211016,1
33,20211023,1
33,20211017,1
33,20211024,1
34,20211017,1
34,20211024,1
35,20211016,2
35,20211023,2
36,20211016,2
36,20211023,2
36,20211017,2
36,20211024,2
37,20211016,1
37,20211023,1
37,20211017,1
37,20211024,1
38,20210920,2
38,20210927,2
38,20211004,2
38,20210921,2
38,20210928,2
38,20211005,2
38,20210922,2
38,20210929,2
38,20211006,2
38,20210916,2
38,20210923,2
38,20210930,2
38,20211007,2
38,20210917,2
38,20210924,2
38,20211001,2
38,20211008,2
38,20210918,2
38,20210925,2
38,20211002,2
38,20211009,2
38,20210919,2
38,20210926,2
38,20211003,2
38,20211010,2
39,20210920,1
39,20210927,1
39,20211004,1
39,20210921,1
39,20210928,1
