agency_id,route_id,route_short_name,route_long_name,route_type
1,10141_109,S1,,109
1,10142_109,S1,,109
1,10143_109,S2,,109
1,10144_109,S2,,109
1,10145_109,S25,,109
1,10148_109,S3,,109
1,10149_109,S3,,109
1,10150_109,S3,,109
1,10154_109,S45,,109
1,10155_109,S46,,109
1,10157_109,S5,,109
1,10158_109,S5,,109
1,10159_109,S5,,109
1,10160_109,S5,,109
1,10162_109,S7,,109
1,10163_109,S7,,109
1,10165_109,S75,,109
1,10166_109,S75,,109
1,10167_109,S8,,109
1,10170_109,S9,,109
1,10223_109,S41,,109
1,10224_109,S41,,109
1,10226_109,S42,,109
1,10227_109,S42,,109
1,10229_109,S47,,109
1,10271_109,S9,,109
1,10276_109,S1,,109
1,10278_109,S2,,109
1,10281_109,S8,,109
1,11536_109,S46,,109
1,11537_109,S46,,109
1,12003_109,S85,,109
1,18949_109,S26,,109
1,18950_109,S3,,109
1,22239_109,S8,,109
1,22240_109,S85,,109
796,17438_900,M1,,900
796,17440_900,M10,,900
796,17442_900,M13,,900
796,17444_900,M17,,900
796,17446_900,M2,,900
796,17452_900,M4,,900
796,17459_900,M5,,900
796,17460_900,M6,,900
796,17463_900,M8,,900
796,17512_400,U1,,400
796,17514_400,U2,,400
796,17515_400,U3,,400
796,17516_400,U4,,400
796,17518_400,U5,,400
796,17521_400,U6,,400
796,17523_400,U7,,400
796,17525_400,U8,,400
796,17526_400,U9,,400
